asset_id,path,category,creator_or_source,creation_method,modifications,license_basis,public_use_status,sha256
magical-girl-master-prompt,art/prompts/magical-girl-master.md,prompt,Codex from approved project design,structured original generation specification,normalized constraints and chroma-key production notes,original project-authored prompt with no third-party asset,approved,a04e6c2ec9c29ad48fdfaccecf11a97b7e46a1245e0dbf9df3f5e887b117ca78
magical-girl-concept-v01,art/source/magical-girl/concept-v01.png,source-image,OpenAI Image 2 via Codex,full-character generation using private reference only for abstract proportion and mood,none; preserved as the first complete candidate,original generated work created for this project,approved,d66f816ce5a9a6b16e740bc49cd51a34347a6107726b9b5855187d2ee8982702
magical-girl-approved-master,art/source/magical-girl/approved-master.png,source-image,OpenAI Image 2 via Codex,complete-character generation followed by same-character proportion correction,chroma-key removal; green despill; transparent edge cleanup; high-quality resize to 4096 px,original generated and modified work created for this project,approved,de9a5af6215c2c5d2ba22df86cf583fda8bfd907939cbc84a1087d1cd931a205
magical-girl-approved-master-ora,art/source/magical-girl/approved-master.ora,editable-source,Codex,OpenRaster package assembled from approved master,embedded merged preview; thumbnail; named approved layer,derived only from the approved original project artwork,approved,00058fe2cceadc6510744e914f0d84ea5eebc677c0a5174886b9a3b25c2e14d3
magical-girl-master-contact-sheet,art/reviews/magical-girl-master-contact-sheet.png,review-image,Codex,review composite generated from approved master,full view; four detail crops; black white and deep-purple edge checks,derived only from the approved original project artwork,approved,2bfeb824b54b74ef8ebe57c9f0bacfe73b24134a401464b0cf557b5ef246d7a9
magical-girl-layered-master,art/source/magical-girl/layered-master.ora,editable-source,Codex,semantic layer package assembled from the approved master,15 named same-canvas layers; merged preview; thumbnail,derived only from the approved original project artwork,approved,8a57eff1af94b1968df7152746d814199f269d0df75254f4454dd14753897e0b
magical-girl-rig,art/source/magical-girl/rig.json,rig-data,Codex,hand-authored animation layer manifest,pivots; ordering; blend modes; conservative motion limits,original project-authored data for approved original artwork,approved,aeff51a672695f6a8d987722f8280f3d6c82a79b9a226d0361a393d7f31ae758
magical-girl-layer-back-hair,art/source/magical-girl/layers/back-hair.png,source-layer,Codex,semantic extraction from approved master,occlusion underpaint and transparent edge preservation,derived only from the approved original project artwork,approved,0c6cc13df123ee5b46141a93e5cf096a6e781ff4cc822d9ab1d48bc16c5b244b
magical-girl-layer-body-legs,art/source/magical-girl/layers/body-legs.png,source-layer,Codex,semantic extraction from approved master,hidden overlap repair beneath moving layers,derived only from the approved original project artwork,approved,4c4ff703e50d0743fdd36a7b250c64bbb29afa2a3f824bd9df5cc9a89079eeb2
magical-girl-layer-cape-lining,art/source/magical-girl/layers/cape-lining.png,source-layer,Codex,semantic extraction from approved master,occlusion underpaint and transparent edge preservation,derived only from the approved original project artwork,approved,889b600ce5d7c88d3825d72c6e89e2135c2b7be023eb18685c3c7936faa0befd
magical-girl-layer-cape-outer,art/source/magical-girl/layers/cape-outer.png,source-layer,Codex,semantic extraction from approved master,occlusion underpaint and transparent edge preservation,derived only from the approved original project artwork,approved,8590848599927ca26b6f077c076bca3d80e972cd24d76537c7b4350412b1dc60
magical-girl-layer-eyes-closed,art/source/magical-girl/layers/eyes-closed.png,source-layer,Codex,procedural eyelid drawing matched to approved face,transparent blink overlay,derived only from the approved original project artwork,approved,56c2f6be12ddf36697a16d48f60f84d9d9adaa1ab30bce98942a237072a3d6d1
magical-girl-layer-eyes-open,art/source/magical-girl/layers/eyes-open.png,source-layer,Codex,semantic extraction from approved master,isolated open-eye overlay,derived only from the approved original project artwork,approved,1acf9bc324409067d76339371a20c5313326b10be7a18eb78cf7e108b0d65e8a
magical-girl-layer-face,art/source/magical-girl/layers/face.png,source-layer,Codex,semantic extraction from approved master,skin underpaint beneath eye overlays,derived only from the approved original project artwork,approved,aadf5e2e74f10df5efc870ad332eb38e10d2bb57bcb730eba76466eab49c8d2f
magical-girl-layer-front-hair,art/source/magical-girl/layers/front-hair.png,source-layer,Codex,semantic extraction from approved master,occlusion underpaint and transparent edge preservation,derived only from the approved original project artwork,approved,b7491e4713440c9f66d172c4a61d339c9e86af11ecfa2337acf959541285db36
magical-girl-layer-hat-body,art/source/magical-girl/layers/hat-body.png,source-layer,Codex,semantic extraction from approved master,transparent edge preservation,derived only from the approved original project artwork,approved,2bf2d93d7cafa3a5efe87a5a94c21c84ede7f6a36ed17ff8884ddbec186e3c5c
magical-girl-layer-hat-ornament,art/source/magical-girl/layers/hat-ornament.png,source-layer,Codex,semantic extraction from approved master,ornament overlap prepared for independent sway,derived only from the approved original project artwork,approved,9409b19696dca5e51de227c1a4e88150008fd31fa8d2147ec60016c24e39e20f
magical-girl-layer-ribbon-left,art/source/magical-girl/layers/ribbon-left.png,source-layer,Codex,semantic extraction from approved master,occlusion underpaint and transparent edge preservation,derived only from the approved original project artwork,approved,fc09c8efdd1aaeaa89bfe126eccadd510839db5fa3c46ee40154ee109e587989
magical-girl-layer-ribbon-right,art/source/magical-girl/layers/ribbon-right.png,source-layer,Codex,semantic extraction from approved master,occlusion underpaint and transparent edge preservation,derived only from the approved original project artwork,approved,0975eb3802bd5db1567902c271760c1b8481507d98e7a231adedd8c6f587f361
magical-girl-layer-skirt,art/source/magical-girl/layers/skirt.png,source-layer,Codex,semantic extraction from approved master,leg overlap repaired beneath moving skirt,derived only from the approved original project artwork,approved,fc8975f3e20525165bad463bb7fb2681180bf651f6ed4d1aada7be06d0f3a924
magical-girl-layer-staff-glow,art/source/magical-girl/layers/staff-glow.png,source-layer,Codex,derived glow from approved staff gems,soft additive aura prepared for animation,derived only from the approved original project artwork,approved,e15e975dffc34c5d11cb61258489defdc6854907803b1ae9b012fc47959498f8
magical-girl-layer-staff,art/source/magical-girl/layers/staff.png,source-layer,Codex,semantic extraction from approved master,hand overlap and transparent edge preservation,derived only from the approved original project artwork,approved,dd6c571a9e6990cf79ee73e50ec811f72259f3b8a3912c6fc3640024638ab2dd
magical-girl-layer-review-1x,art/reviews/magical-girl-layer-extremes-1x.png,review-image,Codex,automated layer extreme board,negative neutral and positive poses on three edge-check backgrounds,derived only from the approved original project artwork,approved,82cfcb3b4ea0cc17f0e050eda8f7f3abfe480287090fa2154d0ba770d4219053
magical-girl-layer-review-2x,art/reviews/magical-girl-layer-extremes-2x.png,review-image,Codex,automated enlarged layer extreme board,negative neutral and positive poses on three edge-check backgrounds,derived only from the approved original project artwork,approved,805851eaef35d0d0595ed66f1c5681f76d8fa5c1817cfeb451741c18ea07d14e
